CA01|CA|1|California|District 1|639087|78.7|1.4|2.9|3.9|0.2|4.2|8.6|17.9|71.2|1.3|14.4|38918|35.2|15.3|50.5|19.9|53.8|0.0|3.7|13.1|44.2|25.0|34.5|23.8|11.6||||48.5|21.4|0.3|0.5||
CA02|CA|2|California|District 2|639087|81.6|1.2|2.2|3.6|0.1|4.0|7.2|14.0|76.2|1.2|11.4|33559|33.3|17.0|49.4|22.7|46.8|0.0|4.4|14.4|39.8|17.4|29.6|25.4|13.4||||52.2|22.1|0.2|0.3||
CA03|CA|3|California|District 3|639088|79.2|4.5|1.0|6.0|0.3|4.7|4.4|10.7|74.4|4.3|10.2|51313|38.6|8.5|51.3|31.7|56.7|0.0|0.2|12.2|46.8|27.0|38.4|29.4|9.2||||54.7|24.9|0.3|0.4||
CA04|CA|4|California|District 4|639088|88.6|1.2|1.4|2.4|0.2|3.2|3.1|8.9|83.8|1.2|5.7|49387|37.3|8.7|49.5|19.7|41.3|0.0|3.1|13.8|44.9|25.2|36.5|26.5|9.0||||58.0|24.7|0.2|0.3||
CA05|CA|5|California|District 5|639088|50.9|14.8|1.3|15.1|0.9|6.7|10.3|20.8|43.4|14.4|25.1|36719|29.0|19.7|53.1|37.3|60.4|0.0|0.1|10.8|41.6|21.4|33.1|29.8|11.5||||39.3|19.1|0.5|0.4||
CA06|CA|6|California|District 6|639087|82.4|2.1|0.9|3.8|0.2|3.9|6.7|14.5|76.1|2.0|14.0|59115|38.7|7.7|47.0|19.3|71.0|0.0|0.2|12.8|50.9|37.9|41.9|26.0|8.7||||48.9|22.0|0.5|0.7||
CA07|CA|7|California|District 7|639088|51.8|17.1|0.8|13.5|0.6|5.9|10.2|21.4|43.2|16.8|22.0|52778|33.7|10.0|47.4|22.3|75.1|0.0|0.1|9.8|45.2|22.4|31.8|28.3|12.0||||50.1|25.1|0.4|0.5||
CA08|CA|8|California|District 8|639088|49.4|8.8|0.5|28.9|0.6|4.4|7.4|15.7|42.9|8.6|37.3|52322|33.2|12.2|47.4|29.1|64.6|0.0|0.4|13.2|55.5|44.0|47.4|25.5|7.7||||29.0|11.0|2.1|0.7||
CA09|CA|9|California|District 9|639088|42.2|26.4|0.6|15.5|0.5|5.2|9.5|18.7|35.2|26.0|26.9|44314|31.2|16.9|49.4|21.8|74.7|0.0|0.1|10.8|46.7|37.4|44.4|24.7|10.4||||36.2|17.2|0.7|0.9||
CA10|CA|10|California|District 10|639088|72.2|5.8|0.6|9.3|0.4|5.4|6.3|15.0|65.4|5.7|15.2|65245|38.9|6.3|47.9|23.3|73.5|0.0|0.1|11.8|47.5|36.2|41.7|27.3|8.7||||57.1|28.0|0.4|0.4||
CA11|CA|11|California|District 11|639088|72.2|3.5|0.8|8.9|0.3|5.0|9.3|19.7|64.1|3.4|16.3|61996|39.0|8.8|49.8|25.0|69.2|0.0|0.1|9.7|45.8|29.1|39.7|27.9|10.7||||60.3|30.7|0.3|0.3||
CA12|CA|12|California|District 12|639088|55.5|2.6|0.4|28.7|0.9|5.1|6.7|15.7|48.2|2.5|32.9|70307|37.6|5.4|41.7|23.3|74.3|0.0|0.1|13.9|52.1|40.7|44.2|28.6|8.0||||51.7|23.0|0.7|0.5||
CA13|CA|13|California|District 13|639088|47.5|6.5|0.7|28.4|0.9|6.4|9.6|21.1|38.4|6.3|35.2|62415|36.0|7.1|48.2|25.0|72.7|0.0|0.1|10.5|48.2|31.8|39.2|27.6|14.3||||55.4|28.4|0.4|0.4||
CA14|CA|14|California|District 14|639088|67.4|3.1|0.5|16.1|0.7|3.8|8.3|17.5|59.6|3.0|27.5|77985|39.6|6.4|47.7|24.3|68.1|0.0|0.3|11.5|51.8|52.2|57.2|19.8|6.5||||52.6|24.4|0.4|0.4||
CA15|CA|15|California|District 15|639088|54.7|2.5|0.6|29.4|0.3|4.6|7.8|17.2|47.1|2.4|34.3|74947|36.7|6.6|49.9|28.4|68.9|0.0|0.1|9.4|51.7|41.6|50.0|23.6|10.7||||54.5|27.8|0.3|0.4||
CA16|CA|16|California|District 16|639088|45.8|3.6|0.9|23.6|0.4|5.2|20.5|37.6|31.9|3.4|41.4|67689|32.7|9.8|47.3|26.5|69.9|0.0|0.1|8.0|47.2|26.9|36.3|24.6|15.8||||56.8|30.7|0.5|0.4||
CA17|CA|17|California|District 17|639088|60.9|2.8|1.1|5.1|0.3|4.9|25.0|42.9|46.3|2.6|32.6|49234|35.2|13.3|51.3|21.2|70.0|0.0|0.1|9.9|43.7|24.9|31.9|23.5|10.8||||53.0|27.8|0.4|0.5||
CA18|CA|18|California|District 18|639088|53.3|5.9|1.4|9.2|0.3|6.1|23.8|41.9|39.1|5.6|33.9|34211|28.8|22.7|49.5|28.1|64.2|0.0|0.1|9.5|34.8|9.7|21.9|24.0|19.5||||53.4|30.1|0.3|0.3||
CA19|CA|19|California|District 19|639088|70.7|3.6|1.5|4.5|0.2|4.7|14.8|28.2|59.9|3.4|20.0|41225|34.1|14.8|48.4|29.8|48.5|0.0|0.3|11.8|41.0|20.3|32.3|26.9|12.8||||55.8|26.4|0.4|0.3||
CA20|CA|20|California|District 20|639088|40.0|7.6|1.8|5.8|0.1|4.6|40.1|63.1|21.4|7.2|45.4|26800|24.8|32.2|52.3|24.0|68.6|0.0|0.0|7.4|28.3|6.3|17.7|20.1|18.1||||52.9|33.0|0.4|0.4||
CA21|CA|21|California|District 21|639088|60.7|2.3|1.6|5.0|0.1|4.6|25.6|43.4|46.4|2.1|28.8|36047|32.7|20.7|47.8|22.5|62.7|0.0|0.1|10.3|38.4|15.0|28.1|24.7|13.2||||57.2|30.5|0.3|0.4||
CA22|CA|22|California|District 22|639088|75.3|5.8|1.3|3.0|0.2|4.0|10.5|21.0|66.8|5.6|11.8|41801|34.3|13.7|52.4|16.8|70.3|0.0|0.1|11.0|39.7|18.3|32.0|25.8|11.7||||54.7|26.4|0.3|0.3||
CA23|CA|23|California|District 23|639088|65.3|2.2|1.2|5.0|0.2|4.3|21.8|41.7|48.7|1.9|29.5|44874|32.0|15.7|52.6|15.7|80.1|0.0|0.0|11.7|45.3|26.2|31.9|25.4|12.0||||49.1|23.8|0.4|0.4||
CA24|CA|24|California|District 24|639088|79.1|1.8|0.9|4.5|0.2|3.7|9.9|22.3|68.6|1.6|16.0|61453|38.3|7.2|47.8|12.0|84.4|0.0|0.0|11.1|46.7|30.0|40.1|27.6|9.2||||60.9|30.6|0.3|0.4||
CA25|CA|25|California|District 25|639087|68.7|8.2|1.3|3.9|0.2|4.7|13.1|27.1|57.2|7.9|17.8|49002|35.3|12.6|51.6|10.6|78.2|0.0|0.2|8.2|40.6|18.8|33.3|27.0|12.2||||58.1|33.0|0.3|0.2||
CA26|CA|26|California|District 26|639088|64.2|4.6|0.6|15.3|0.2|4.4|10.7|24.4|52.7|4.4|25.6|58968|36.2|8.4|45.0|14.2|83.4|0.0|0.0|11.0|46.5|32.4|42.0|28.7|10.0||||58.5|29.7|0.3|0.3||
CA27|CA|27|California|District 27|639088|60.7|4.7|0.7|10.6|0.2|5.4|17.7|36.5|44.9|4.5|42.0|46781|32.3|13.4|49.8|19.4|77.7|0.0|0.0|10.6|45.9|25.8|35.8|30.4|11.7||||49.2|25.5|0.4|0.5||
CA28|CA|28|California|District 28|639087|53.3|4.4|0.8|6.0|0.1|5.4|29.9|55.6|31.4|4.1|54.8|40439|28.3|19.1|51.5|22.3|73.0|0.0|0.0|8.6|41.8|23.7|32.3|25.7|16.5||||46.1|26.8|0.7|0.4||
CA29|CA|29|California|District 29|639088|51.2|6.1|0.5|23.9|0.1|6.5|11.7|26.1|39.1|5.9|50.8|43895|31.6|14.5|47.9|19.2|77.7|0.0|0.0|13.2|45.0|33.4|42.1|28.1|10.2||||48.5|23.7|0.4|0.3||
CA30|CA|30|California|District 30|639088|81.0|2.7|0.3|8.9|0.1|3.9|3.1|8.3|76.4|2.6|23.6|60713|38.9|9.0|49.4|23.8|72.9|0.0|0.1|14.6|53.4|53.5|58.2|26.2|3.8||||39.2|16.1|0.8|0.4||
CA31|CA|31|California|District 31|639088|34.2|4.7|1.1|14.0|0.1|5.8|40.2|70.2|9.8|4.2|71.3|26093|19.9|30.1|50.7|20.3|69.1|0.0|0.0|7.4|36.5|13.7|20.1|24.0|24.1||||43.7|27.4|0.6|0.4||
CA32|CA|32|California|District 32|639087|41.2|2.8|1.2|18.7|0.1|4.5|31.5|62.3|14.8|2.6|55.6|41394|24.5|18.0|44.2|15.6|78.5|0.0|0.0|9.0|38.3|13.6|23.2|28.1|23.1||||56.4|33.1|0.4|0.3||
CA33|CA|33|California|District 33|639088|31.5|30.5|0.7|12.2|0.1|5.1|19.9|34.6|19.9|29.9|43.2|31655|23.9|23.5|49.7|18.8|75.6|0.0|0.0|10.4|41.7|26.9|35.3|28.5|11.4||||33.3|17.1|0.7|0.4||
CA34|CA|34|California|District 34|639088|41.6|4.8|1.1|5.6|0.2|4.8|42.0|77.2|11.4|4.4|67.7|29863|20.7|26.0|51.2|20.1|69.1|0.0|0.1|7.6|33.6|8.7|17.6|26.1|30.2||||49.5|32.3|0.4|0.3||
CA35|CA|35|California|District 35|639088|26.0|34.7|0.7|5.7|0.4|4.5|28.0|47.4|10.4|34.1|42.4|32156|20.9|26.4|47.5|13.9|79.7|0.0|0.0|7.7|35.5|13.3|24.1|28.9|20.1||||41.1|24.6|0.3|0.4||
CA36|CA|36|California|District 36|639087|61.3|4.2|0.7|13.6|0.5|5.0|14.8|30.3|48.4|4.1|31.8|51633|35.4|12.7|49.8|20.6|76.0|0.0|0.0|10.3|49.9|36.9|44.3|26.8|9.8||||43.1|20.5|0.3|0.4||
